"Statistic Label","Quarter","Size of Employees per Enterprise","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Hourly Earnings","2008Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.81"
"Average Hourly Earnings","2008Q2","Greater than 250","All NACE economic sectors","Euro","25.28"
"Average Hourly Earnings","2008Q2","Greater than 250","Construction (F)","Euro","25.82"
"Average Hourly Earnings","2008Q2","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","15.78"
"Average Hourly Earnings","2008Q2","Greater than 250","Transportation and storage (H)","Euro","22.96"
"Average Hourly Earnings","2008Q2","Greater than 250","Accommodation and food service activities (I)","Euro","12.68"
"Average Hourly Earnings","2008Q2","Greater than 250","Information and communication (J)","Euro","25.8"
"Average Hourly Earnings","2008Q2","Greater than 250","Professional, scientific and technical activities (M)","Euro","24.72"
"Average Hourly Earnings","2008Q2","Greater than 250","Administrative and support service activities (N)","Euro","14.2"
"Average Hourly Earnings","2008Q2","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","27.73"
"Average Hourly Earnings","2008Q2","Greater than 250","Education (P)","Euro","35.67"
"Average Hourly Earnings","2008Q2","Greater than 250","Human health and social work activities (Q)","Euro","26.34"
"Average Hourly Earnings","2008Q2","Greater than 250","Industry (B to E)","Euro","23.31"
"Average Hourly Earnings","2008Q2","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","33.03"
"Average Hourly Earnings","2008Q2","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","14.52"
"Average Hourly Earnings","2008Q3","Under 50","All NACE economic sectors","Euro","17.32"
"Average Hourly Earnings","2008Q3","Under 50","Construction (F)","Euro","18.62"
"Average Hourly Earnings","2008Q3","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","15.87"
"Average Hourly Earnings","2008Q3","Under 50","Transportation and storage (H)","Euro","16.6"
"Average Hourly Earnings","2008Q3","Under 50","Accommodation and food service activities (I)","Euro","12.3"
"Average Hourly Earnings","2008Q3","Under 50","Information and communication (J)","Euro","25.87"
"Average Hourly Earnings","2008Q3","Under 50","Professional, scientific and technical activities (M)","Euro","22.11"
"Average Hourly Earnings","2008Q3","Under 50","Administrative and support service activities (N)","Euro","17.24"
"Average Hourly Earnings","2008Q3","Under 50","Public administration and defence; compulsory social security (O)","Euro","26.92"
"Average Hourly Earnings","2008Q3","Under 50","Education (P)","Euro","17.99"
"Average Hourly Earnings","2008Q3","Under 50","Human health and social work activities (Q)","Euro","15.56"
"Average Hourly Earnings","2008Q3","Under 50","Industry (B to E)","Euro","16.65"
"Average Hourly Earnings","2008Q3","Under 50","Financial, insurance and real estate activities (K,L)","Euro","24.85"
"Average Hourly Earnings","2008Q3","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","14.89"
"Average Hourly Earnings","2008Q3","50 - 250","All NACE economic sectors","Euro","19.17"
"Average Hourly Earnings","2008Q3","50 - 250","Construction (F)","Euro","23.21"
"Average Hourly Earnings","2008Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.45"
"Average Hourly Earnings","2008Q3","50 - 250","Transportation and storage (H)","Euro","18.35"
"Average Hourly Earnings","2008Q3","50 - 250","Accommodation and food service activities (I)","Euro","12.54"
"Average Hourly Earnings","2008Q3","50 - 250","Information and communication (J)","Euro","25.96"
"Average Hourly Earnings","2008Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","26.99"
"Average Hourly Earnings","2008Q3","50 - 250","Administrative and support service activities (N)","Euro","15.1"
"Average Hourly Earnings","2008Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","31.3"
"Average Hourly Earnings","2008Q3","50 - 250","Education (P)","Euro","29.25"
"Average Hourly Earnings","2008Q3","50 - 250","Human health and social work activities (Q)","Euro","17.58"
"Average Hourly Earnings","2008Q3","50 - 250","Industry (B to E)","Euro","18.72"
"Average Hourly Earnings","2008Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","29.03"
"Average Hourly Earnings","2008Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.6"
"Average Hourly Earnings","2008Q3","Greater than 250","All NACE economic sectors","Euro","24.87"
"Average Hourly Earnings","2008Q3","Greater than 250","Construction (F)","Euro","25.96"
"Average Hourly Earnings","2008Q3","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","15.68"
"Average Hourly Earnings","2008Q3","Greater than 250","Transportation and storage (H)","Euro","22.62"
"Average Hourly Earnings","2008Q3","Greater than 250","Accommodation and food service activities (I)","Euro","12.68"
"Average Hourly Earnings","2008Q3","Greater than 250","Information and communication (J)","Euro","27.85"
"Average Hourly Earnings","2008Q3","Greater than 250","Professional, scientific and technical activities (M)","Euro","28.46"
"Average Hourly Earnings","2008Q3","Greater than 250","Administrative and support service activities (N)","Euro","14.88"
"Average Hourly Earnings","2008Q3","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","26.34"
"Average Hourly Earnings","2008Q3","Greater than 250","Education (P)","Euro","38.44"
"Average Hourly Earnings","2008Q3","Greater than 250","Human health and social work activities (Q)","Euro","26.21"
"Average Hourly Earnings","2008Q3","Greater than 250","Industry (B to E)","Euro","22.81"
"Average Hourly Earnings","2008Q3","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","27.63"
"Average Hourly Earnings","2008Q3","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.62"
"Average Hourly Earnings","2008Q4","Under 50","All NACE economic sectors","Euro","18.21"
"Average Hourly Earnings","2008Q4","Under 50","Construction (F)","Euro","20.04"
"Average Hourly Earnings","2008Q4","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.71"
"Average Hourly Earnings","2008Q4","Under 50","Transportation and storage (H)","Euro","17.11"
"Average Hourly Earnings","2008Q4","Under 50","Accommodation and food service activities (I)","Euro","12.52"
"Average Hourly Earnings","2008Q4","Under 50","Information and communication (J)","Euro","25.55"
"Average Hourly Earnings","2008Q4","Under 50","Professional, scientific and technical activities (M)","Euro","23.69"
"Average Hourly Earnings","2008Q4","Under 50","Administrative and support service activities (N)","Euro","18.49"
"Average Hourly Earnings","2008Q4","Under 50","Public administration and defence; compulsory social security (O)","Euro","26.06"
"Average Hourly Earnings","2008Q4","Under 50","Education (P)","Euro","16.92"
"Average Hourly Earnings","2008Q4","Under 50","Human health and social work activities (Q)","Euro","16.23"
"Average Hourly Earnings","2008Q4","Under 50","Industry (B to E)","Euro","17.45"
"Average Hourly Earnings","2008Q4","Under 50","Financial, insurance and real estate activities (K,L)","Euro","26.26"
"Average Hourly Earnings","2008Q4","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.61"
"Average Hourly Earnings","2008Q4","50 - 250","All NACE economic sectors","Euro","20.03"
"Average Hourly Earnings","2008Q4","50 - 250","Construction (F)","Euro","23.69"
"Average Hourly Earnings","2008Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.32"
"Average Hourly Earnings","2008Q4","50 - 250","Transportation and storage (H)","Euro","19.41"
"Average Hourly Earnings","2008Q4","50 - 250","Accommodation and food service activities (I)","Euro","13.05"
"Average Hourly Earnings","2008Q4","50 - 250","Information and communication (J)","Euro","26.95"
"Average Hourly Earnings","2008Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","28.28"
"Average Hourly Earnings","2008Q4","50 - 250","Administrative and support service activities (N)","Euro","15.3"
"Average Hourly Earnings","2008Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","32.43"
"Average Hourly Earnings","2008Q4","50 - 250","Education (P)","Euro","30.4"
"Average Hourly Earnings","2008Q4","50 - 250","Human health and social work activities (Q)","Euro","18.35"
"Average Hourly Earnings","2008Q4","50 - 250","Industry (B to E)","Euro","19.45"
"Average Hourly Earnings","2008Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","31.02"
"Average Hourly Earnings","2008Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","21.99"
"Average Hourly Earnings","2008Q4","Greater than 250","All NACE economic sectors","Euro","25.92"
"Average Hourly Earnings","2008Q4","Greater than 250","Construction (F)","Euro","26.54"
"Average Hourly Earnings","2008Q4","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.16"
"Average Hourly Earnings","2008Q4","Greater than 250","Transportation and storage (H)","Euro","23.96"
"Average Hourly Earnings","2008Q4","Greater than 250","Accommodation and food service activities (I)","Euro","12.98"
"Average Hourly Earnings","2008Q4","Greater than 250","Information and communication (J)","Euro","27.32"
"Average Hourly Earnings","2008Q4","Greater than 250","Professional, scientific and technical activities (M)","Euro","25.82"
"Average Hourly Earnings","2008Q4","Greater than 250","Administrative and support service activities (N)","Euro","15.25"
"Average Hourly Earnings","2008Q4","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","27.51"
"Average Hourly Earnings","2008Q4","Greater than 250","Education (P)","Euro","36.97"
"Average Hourly Earnings","2008Q4","Greater than 250","Human health and social work activities (Q)","Euro","27.57"
"Average Hourly Earnings","2008Q4","Greater than 250","Industry (B to E)","Euro","24.49"
"Average Hourly Earnings","2008Q4","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","29.81"
"Average Hourly Earnings","2008Q4","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","16.35"
"Average Hourly Earnings","2009Q1","Under 50","All NACE economic sectors","Euro","17.79"
"Average Hourly Earnings","2009Q1","Under 50","Construction (F)","Euro","19.97"
"Average Hourly Earnings","2009Q1","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.34"
"Average Hourly Earnings","2009Q1","Under 50","Transportation and storage (H)","Euro","16.46"
"Average Hourly Earnings","2009Q1","Under 50","Accommodation and food service activities (I)","Euro","12.56"
"Average Hourly Earnings","2009Q1","Under 50","Information and communication (J)","Euro","24.78"
"Average Hourly Earnings","2009Q1","Under 50","Professional, scientific and technical activities (M)","Euro","23.38"
"Average Hourly Earnings","2009Q1","Under 50","Administrative and support service activities (N)","Euro","16.91"
"Average Hourly Earnings","2009Q1","Under 50","Public administration and defence; compulsory social security (O)","Euro","22.62"
"Average Hourly Earnings","2009Q1","Under 50","Education (P)","Euro","17.23"
"Average Hourly Earnings","2009Q1","Under 50","Human health and social work activities (Q)","Euro","15.55"
"Average Hourly Earnings","2009Q1","Under 50","Industry (B to E)","Euro","17.57"
"Average Hourly Earnings","2009Q1","Under 50","Financial, insurance and real estate activities (K,L)","Euro","25.25"
"Average Hourly Earnings","2009Q1","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","14.74"
"Average Hourly Earnings","2009Q1","50 - 250","All NACE economic sectors","Euro","20.66"
"Average Hourly Earnings","2009Q1","50 - 250","Construction (F)","Euro","22.62"
"Average Hourly Earnings","2009Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.36"
"Average Hourly Earnings","2009Q1","50 - 250","Transportation and storage (H)","Euro","19.15"
"Average Hourly Earnings","2009Q1","50 - 250","Accommodation and food service activities (I)","Euro","13.14"
"Average Hourly Earnings","2009Q1","50 - 250","Information and communication (J)","Euro","26.97"
"Average Hourly Earnings","2009Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","31.72"
"Average Hourly Earnings","2009Q1","50 - 250","Administrative and support service activities (N)","Euro","18.51"
"Average Hourly Earnings","2009Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","32.35"
"Average Hourly Earnings","2009Q1","50 - 250","Education (P)","Euro","29.64"
"Average Hourly Earnings","2009Q1","50 - 250","Human health and social work activities (Q)","Euro","18.61"
"Average Hourly Earnings","2009Q1","50 - 250","Industry (B to E)","Euro","19.56"
"Average Hourly Earnings","2009Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","36.24"
"Average Hourly Earnings","2009Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.94"
"Average Hourly Earnings","2009Q1","Greater than 250","All NACE economic sectors","Euro","26.25"
"Average Hourly Earnings","2009Q1","Greater than 250","Construction (F)","Euro","27.42"
"Average Hourly Earnings","2009Q1","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.19"
"Average Hourly Earnings","2009Q1","Greater than 250","Transportation and storage (H)","Euro","22.93"
"Average Hourly Earnings","2009Q1","Greater than 250","Accommodation and food service activities (I)","Euro","13.36"
"Average Hourly Earnings","2009Q1","Greater than 250","Information and communication (J)","Euro","26.85"
"Average Hourly Earnings","2009Q1","Greater than 250","Professional, scientific and technical activities (M)","Euro","26.65"
"Average Hourly Earnings","2009Q1","Greater than 250","Administrative and support service activities (N)","Euro","15.65"
"Average Hourly Earnings","2009Q1","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","27.57"
"Average Hourly Earnings","2009Q1","Greater than 250","Education (P)","Euro","37.82"
"Average Hourly Earnings","2009Q1","Greater than 250","Human health and social work activities (Q)","Euro","27.05"
"Average Hourly Earnings","2009Q1","Greater than 250","Industry (B to E)","Euro","25.77"
"Average Hourly Earnings","2009Q1","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","30.4"
"Average Hourly Earnings","2009Q1","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.8"
"Average Hourly Earnings","2009Q2","Under 50","All NACE economic sectors","Euro","17.53"
"Average Hourly Earnings","2009Q2","Under 50","Construction (F)","Euro","19.62"
"Average Hourly Earnings","2009Q2","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","15.98"
"Average Hourly Earnings","2009Q2","Under 50","Transportation and storage (H)","Euro","16.26"
"Average Hourly Earnings","2009Q2","Under 50","Accommodation and food service activities (I)","Euro","12.37"
"Average Hourly Earnings","2009Q2","Under 50","Information and communication (J)","Euro","24.44"
"Average Hourly Earnings","2009Q2","Under 50","Professional, scientific and technical activities (M)","Euro","23.12"
"Average Hourly Earnings","2009Q2","Under 50","Administrative and support service activities (N)","Euro","18.31"
"Average Hourly Earnings","2009Q2","Under 50","Public administration and defence; compulsory social security (O)","Euro","25.08"
"Average Hourly Earnings","2009Q2","Under 50","Education (P)","Euro","17.73"
"Average Hourly Earnings","2009Q2","Under 50","Human health and social work activities (Q)","Euro","15.68"
"Average Hourly Earnings","2009Q2","Under 50","Industry (B to E)","Euro","17.31"
"Average Hourly Earnings","2009Q2","Under 50","Financial, insurance and real estate activities (K,L)","Euro","23.26"
"Average Hourly Earnings","2009Q2","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.05"
"Average Hourly Earnings","2009Q2","50 - 250","All NACE economic sectors","Euro","19.78"
"Average Hourly Earnings","2009Q2","50 - 250","Construction (F)","Euro","23.7"
"Average Hourly Earnings","2009Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.18"
"Average Hourly Earnings","2009Q2","50 - 250","Transportation and storage (H)","Euro","18.63"
"Average Hourly Earnings","2009Q2","50 - 250","Accommodation and food service activities (I)","Euro","12.57"
"Average Hourly Earnings","2009Q2","50 - 250","Information and communication (J)","Euro","26.56"
"Average Hourly Earnings","2009Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","27.99"
"Average Hourly Earnings","2009Q2","50 - 250","Administrative and support service activities (N)","Euro","16.34"
"Average Hourly Earnings","2009Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","33.67"
"Average Hourly Earnings","2009Q2","50 - 250","Education (P)","Euro","28.06"
"Average Hourly Earnings","2009Q2","50 - 250","Human health and social work activities (Q)","Euro","18.7"
"Average Hourly Earnings","2009Q2","50 - 250","Industry (B to E)","Euro","19.64"
"Average Hourly Earnings","2009Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","28.93"
"Average Hourly Earnings","2009Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.67"
"Average Hourly Earnings","2009Q2","Greater than 250","All NACE economic sectors","Euro","25.89"
"Average Hourly Earnings","2009Q2","Greater than 250","Construction (F)","Euro","25.71"
"Average Hourly Earnings","2009Q2","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.03"
"Average Hourly Earnings","2009Q2","Greater than 250","Transportation and storage (H)","Euro","22.84"
"Average Hourly Earnings","2009Q2","Greater than 250","Accommodation and food service activities (I)","Euro","12.79"
"Average Hourly Earnings","2009Q2","Greater than 250","Information and communication (J)","Euro","26.65"
"Average Hourly Earnings","2009Q2","Greater than 250","Professional, scientific and technical activities (M)","Euro","25.86"
"Average Hourly Earnings","2009Q2","Greater than 250","Administrative and support service activities (N)","Euro","15.38"
"Average Hourly Earnings","2009Q2","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","27.94"
"Average Hourly Earnings","2009Q2","Greater than 250","Education (P)","Euro","37.24"
"Average Hourly Earnings","2009Q2","Greater than 250","Human health and social work activities (Q)","Euro","27.58"
"Average Hourly Earnings","2009Q2","Greater than 250","Industry (B to E)","Euro","24.52"
"Average Hourly Earnings","2009Q2","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","29"
"Average Hourly Earnings","2009Q2","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","16.77"
"Average Hourly Earnings","2009Q3","Under 50","All NACE economic sectors","Euro","17.27"
"Average Hourly Earnings","2009Q3","Under 50","Construction (F)","Euro","19.66"
"Average Hourly Earnings","2009Q3","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","15.56"
"Average Hourly Earnings","2009Q3","Under 50","Transportation and storage (H)","Euro","16.06"
"Average Hourly Earnings","2009Q3","Under 50","Accommodation and food service activities (I)","Euro","12.35"
"Average Hourly Earnings","2009Q3","Under 50","Information and communication (J)","Euro","22.3"
"Average Hourly Earnings","2009Q3","Under 50","Professional, scientific and technical activities (M)","Euro","22.84"
"Average Hourly Earnings","2009Q3","Under 50","Administrative and support service activities (N)","Euro","18.09"
"Average Hourly Earnings","2009Q3","Under 50","Public administration and defence; compulsory social security (O)","Euro","25.62"
"Average Hourly Earnings","2009Q3","Under 50","Education (P)","Euro","16.64"
"Average Hourly Earnings","2009Q3","Under 50","Human health and social work activities (Q)","Euro","16.46"
"Average Hourly Earnings","2009Q3","Under 50","Industry (B to E)","Euro","17.53"
"Average Hourly Earnings","2009Q3","Under 50","Financial, insurance and real estate activities (K,L)","Euro","22.45"
"Average Hourly Earnings","2009Q3","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","14.47"
"Average Hourly Earnings","2009Q3","50 - 250","All NACE economic sectors","Euro","19.66"
"Average Hourly Earnings","2009Q3","50 - 250","Construction (F)","Euro","23.32"
"Average Hourly Earnings","2009Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.77"
"Average Hourly Earnings","2009Q3","50 - 250","Transportation and storage (H)","Euro","17.95"
"Average Hourly Earnings","2009Q3","50 - 250","Accommodation and food service activities (I)","Euro","12.77"
"Average Hourly Earnings","2009Q3","50 - 250","Information and communication (J)","Euro","25.92"
"Average Hourly Earnings","2009Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","28.62"
"Average Hourly Earnings","2009Q3","50 - 250","Administrative and support service activities (N)","Euro","16.56"
"Average Hourly Earnings","2009Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","32.59"
"Average Hourly Earnings","2009Q3","50 - 250","Education (P)","Euro","32.39"
"Average Hourly Earnings","2009Q3","50 - 250","Human health and social work activities (Q)","Euro","17.76"
"Average Hourly Earnings","2009Q3","50 - 250","Industry (B to E)","Euro","19.3"
"Average Hourly Earnings","2009Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","28.72"
"Average Hourly Earnings","2009Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.8"
"Average Hourly Earnings","2009Q3","Greater than 250","All NACE economic sectors","Euro","25.99"
"Average Hourly Earnings","2009Q3","Greater than 250","Construction (F)","Euro","26.04"
"Average Hourly Earnings","2009Q3","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.6"
"Average Hourly Earnings","2009Q3","Greater than 250","Transportation and storage (H)","Euro","22.07"
"Average Hourly Earnings","2009Q3","Greater than 250","Accommodation and food service activities (I)","Euro","12.58"
"Average Hourly Earnings","2009Q3","Greater than 250","Information and communication (J)","Euro","26.69"
"Average Hourly Earnings","2009Q3","Greater than 250","Professional, scientific and technical activities (M)","Euro","25.54"
"Average Hourly Earnings","2009Q3","Greater than 250","Administrative and support service activities (N)","Euro","15.33"
"Average Hourly Earnings","2009Q3","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","27.21"
"Average Hourly Earnings","2009Q3","Greater than 250","Education (P)","Euro","41.77"
"Average Hourly Earnings","2009Q3","Greater than 250","Human health and social work activities (Q)","Euro","27.38"
"Average Hourly Earnings","2009Q3","Greater than 250","Industry (B to E)","Euro","24.2"
"Average Hourly Earnings","2009Q3","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","27.89"
"Average Hourly Earnings","2009Q3","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","16.32"
"Average Hourly Earnings","2009Q4","Under 50","All NACE economic sectors","Euro","17.95"
